method,budget,window,window_range,rmse_obs,rmse_fwd,rmse_bwd,mae_obs,mae_fwd,mae_bwd,J_opt,nit,success
3D-Var,small,1,"[1.0, 4.0]",0.0017669711320966754,0.003055753570591438,0.0026223453697322052,0.0015078154490319523,0.0030433523155905884,0.002389547184433168,439.1077485985225,10,True
4D-Var,small,1,"[1.0, 4.0]",0.00031102612962585443,0.0014089610332674606,0.005313534064125486,0.00025599326925240085,0.0012611692579285053,0.00457801416398666,49.150630028579535,20,True
3D-Var,medium,1,"[1.0, 4.0]",0.0017669711320966754,0.003055753570591438,0.0026223453697322052,0.0015078154490319523,0.0030433523155905884,0.002389547184433168,439.1077485985225,10,True
4D-Var,medium,1,"[1.0, 4.0]",0.00031102612962585443,0.0014089610332674606,0.005313534064125486,0.00025599326925240085,0.0012611692579285053,0.00457801416398666,49.150630028579535,20,True
3D-Var,large,1,"[1.0, 4.0]",0.0017669711320966754,0.003055753570591438,0.0026223453697322052,0.0015078154490319523,0.0030433523155905884,0.002389547184433168,439.1077485985225,10,True
4D-Var,large,1,"[1.0, 4.0]",0.00031102612962585443,0.0014089610332674606,0.005313534064125486,0.00025599326925240085,0.0012611692579285053,0.00457801416398666,49.150630028579535,20,True
3D-Var,small,2,"[6.0, 9.0]",6.215903122171095e-05,0.00011503483204962723,0.003360277385381244,5.48621380522981e-05,0.00011201263805959123,0.002591816569929508,20.397377575473325,40,True
4D-Var,small,2,"[6.0, 9.0]",6.112821594663246e-05,0.00011343543341604944,0.0033408932980080394,5.387096079527445e-05,0.00011042050062412671,0.0025768903686888287,19.361843219783484,29,True
3D-Var,medium,2,"[6.0, 9.0]",6.215903122171095e-05,0.00011503483204962723,0.003360277385381244,5.48621380522981e-05,0.00011201263805959123,0.002591816569929508,20.397377575473325,40,True
4D-Var,medium,2,"[6.0, 9.0]",6.112821594663246e-05,0.00011343543341604944,0.0033408932980080394,5.387096079527445e-05,0.00011042050062412671,0.0025768903686888287,19.361843219783484,29,True
3D-Var,large,2,"[6.0, 9.0]",6.215903122171095e-05,0.00011503483204962723,0.003360277385381244,5.48621380522981e-05,0.00011201263805959123,0.002591816569929508,20.397377575473325,40,True
4D-Var,large,2,"[6.0, 9.0]",6.112821594663246e-05,0.00011343543341604944,0.0033408932980080394,5.387096079527445e-05,0.00011042050062412671,0.0025768903686888287,19.361843219783484,29,True
